               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11208,            0.028546,            0.047881,            0.001466,             0.41793,           0.0064698,           0.0016728,            0.095908,            0.019005,            0.040696,              0.0919,              0.0009,              0.0009
                   1,              0.1088,            0.028758,            0.045796,           0.0014488,             0.30479,           0.0045253,           0.0012644,            0.092441,            0.018614,            0.040356,            0.082891,           0.0018906,           0.0018906
                   2,             0.10145,            0.028196,            0.044259,           0.0015034,             0.36537,           0.0090096,           0.0020077,             0.09024,             0.01875,            0.040132,            0.073871,           0.0028713,           0.0028713
                   3,            0.098792,            0.028373,            0.043455,           0.0013371,              0.4044,           0.0062288,           0.0014439,            0.088458,            0.019052,            0.039954,            0.064842,           0.0038421,           0.0038421
                   4,            0.094342,            0.029243,            0.042665,            0.002095,             0.44272,           0.0063888,           0.0015173,            0.086905,            0.019147,            0.039761,            0.055803,            0.004803,            0.004803
                   5,            0.095062,            0.028715,            0.042308,           0.0013387,             0.44012,            0.011539,           0.0031251,            0.085933,            0.019016,            0.039634,            0.046754,            0.005754,            0.005754
                   6,            0.091014,            0.030978,            0.040146,           0.0020094,             0.45134,           0.0055742,           0.0014909,            0.085672,            0.018855,            0.039521,            0.037695,           0.0066951,           0.0066951
                   7,            0.089198,            0.027204,            0.039371,           0.0015818,             0.45996,           0.0065132,           0.0020252,            0.084713,            0.018727,            0.039319,            0.028626,           0.0076263,           0.0076263
                   8,            0.087971,            0.030327,            0.037833,           0.0016317,             0.49552,            0.005937,           0.0014145,            0.083514,            0.018757,            0.039077,            0.019548,           0.0085476,           0.0085476
                   9,            0.085593,            0.027665,            0.035844,           0.0017009,             0.55833,           0.0087055,           0.0025157,            0.080414,            0.019035,            0.038142,            0.010459,            0.009459,            0.009459
                  10,            0.085631,            0.028702,            0.030976,           0.0017935,             0.58164,            0.018975,           0.0046984,             0.07751,            0.019171,             0.03707,            0.009505,            0.009505,            0.009505
                  11,            0.080455,            0.029711,            0.032222,            0.001732,             0.57302,              0.0226,           0.0055662,            0.073733,            0.019229,            0.035641,            0.009505,            0.009505,            0.009505
                  12,            0.081206,            0.029287,            0.027405,           0.0017363,             0.57287,            0.023984,           0.0061248,            0.068363,            0.019328,            0.032854,           0.0094555,           0.0094555,           0.0094555
                  13,            0.081093,            0.028404,            0.027912,           0.0017655,             0.58663,            0.021124,           0.0050257,             0.06641,            0.019034,            0.027194,            0.009406,            0.009406,            0.009406
                  14,            0.085832,            0.027763,            0.026016,           0.0047848,             0.23491,            0.029367,           0.0073162,             0.06772,            0.018775,            0.023621,           0.0093565,           0.0093565,           0.0093565
                  15,            0.080354,            0.029051,            0.027731,             0.50555,             0.15517,            0.013644,            0.003339,            0.069059,            0.018477,            0.020901,            0.009307,            0.009307,            0.009307
                  16,            0.081554,            0.027773,            0.023618,             0.76626,            0.012931,            0.019898,           0.0045698,            0.069946,            0.018229,             0.01912,           0.0092575,           0.0092575,           0.0092575
                  17,            0.083342,            0.028288,            0.020591,             0.77784,            0.056034,            0.023633,           0.0053073,            0.068643,            0.017956,            0.018211,            0.009208,            0.009208,            0.009208
                  18,            0.079194,            0.029874,            0.022514,             0.81445,            0.051724,             0.04224,             0.01147,            0.066616,             0.01805,            0.017638,           0.0091585,           0.0091585,           0.0091585
                  19,            0.075801,             0.02931,            0.019017,             0.77459,            0.038793,             0.01963,           0.0046506,            0.068674,            0.017363,            0.017394,            0.009109,            0.009109,            0.009109
                  20,            0.075103,            0.026217,            0.021376,              0.7973,            0.064655,            0.041862,             0.01081,            0.061728,            0.018767,             0.01664,           0.0090595,           0.0090595,           0.0090595
                  21,            0.075943,            0.027085,            0.018889,             0.75818,            0.047414,            0.010149,           0.0018979,             0.07418,            0.018674,            0.015871,             0.00901,             0.00901,             0.00901
                  22,            0.075796,            0.028865,            0.017806,             0.76373,            0.056034,            0.010021,           0.0025657,            0.067902,            0.019872,            0.016161,           0.0089605,           0.0089605,           0.0089605
                  23,            0.074345,            0.029051,            0.016337,             0.78534,            0.056034,            0.031356,           0.0080389,            0.066907,            0.020287,            0.015068,            0.008911,            0.008911,            0.008911
                  24,             0.07431,            0.028713,            0.016456,             0.81453,            0.051724,            0.061941,            0.016335,            0.066865,            0.019868,            0.014693,           0.0088615,           0.0088615,           0.0088615
                  25,            0.072559,            0.026797,            0.016407,              0.7943,            0.064655,            0.029039,           0.0067251,            0.072325,            0.017512,            0.013465,            0.008812,            0.008812,            0.008812
                  26,            0.071255,             0.02663,              0.0167,             0.84707,            0.093037,            0.083952,            0.018728,            0.066588,            0.017086,            0.013246,           0.0087625,           0.0087625,           0.0087625
                  27,            0.072942,            0.025943,            0.017713,              0.8379,            0.099138,            0.070426,            0.016033,            0.063905,            0.017057,            0.013494,            0.008713,            0.008713,            0.008713
                  28,            0.072258,            0.026133,            0.013544,              0.8165,            0.068966,            0.090818,            0.018897,             0.06396,            0.017332,            0.013198,           0.0086635,           0.0086635,           0.0086635
                  29,            0.069617,            0.024404,            0.011756,             0.80521,            0.081897,            0.043326,            0.010293,            0.072453,            0.016815,            0.012358,            0.008614,            0.008614,            0.008614
                  30,            0.075041,            0.025748,            0.011418,             0.82715,             0.10776,             0.11475,            0.031104,            0.063876,            0.015611,            0.011929,           0.0085645,           0.0085645,           0.0085645
                  31,            0.069827,            0.025462,            0.012447,              0.8585,            0.099138,             0.17501,            0.058072,            0.062329,            0.015286,            0.012046,            0.008515,            0.008515,            0.008515
                  32,            0.066274,            0.025936,            0.013543,             0.81475,            0.099138,             0.14692,            0.048707,            0.057363,            0.016023,            0.012291,           0.0084655,           0.0084655,           0.0084655
                  33,            0.063612,            0.025993,            0.013936,             0.84065,            0.073276,             0.14969,            0.044023,            0.063802,            0.015152,            0.011098,            0.008416,            0.008416,            0.008416
                  34,            0.067929,            0.025207,            0.011429,             0.77581,            0.090517,            0.069419,             0.02484,             0.06498,             0.01549,            0.010647,           0.0083665,           0.0083665,           0.0083665
                  35,            0.071147,            0.023504,            0.013775,               0.811,            0.068966,             0.11584,            0.035601,            0.060773,            0.014833,            0.010659,            0.008317,            0.008317,            0.008317
                  36,            0.066411,            0.024968,            0.013753,             0.87378,            0.077586,             0.18964,            0.065946,            0.056298,            0.014921,            0.010611,           0.0082675,           0.0082675,           0.0082675
                  37,             0.07334,             0.02366,            0.014505,             0.81744,            0.094828,             0.12704,            0.037529,            0.061981,            0.013561,            0.010586,            0.008218,            0.008218,            0.008218
                  38,            0.073889,            0.020799,            0.011532,             0.79652,            0.081897,              0.2051,            0.073836,            0.062597,            0.013246,           0.0099496,           0.0081685,           0.0081685,           0.0081685
                  39,            0.064712,            0.024732,            0.011323,              0.8757,             0.13078,             0.27476,            0.080802,            0.053967,            0.014332,           0.0094711,            0.008119,            0.008119,            0.008119
                  40,            0.062754,            0.023641,            0.014954,             0.87248,             0.12836,             0.21367,            0.069639,            0.053565,            0.014506,           0.0090845,           0.0080695,           0.0080695,           0.0080695
                  41,            0.065592,            0.024348,            0.013902,             0.83248,             0.13362,             0.25068,             0.08412,            0.056378,            0.013677,           0.0084727,             0.00802,             0.00802,             0.00802
                  42,             0.06748,            0.023649,            0.011259,             0.84023,             0.10776,             0.24878,             0.11041,            0.056144,            0.013321,            0.008052,           0.0079705,           0.0079705,           0.0079705
                  43,            0.064074,            0.024034,           0.0099537,             0.85026,               0.125,             0.27546,             0.12041,            0.053434,            0.013641,            0.007987,            0.007921,            0.007921,            0.007921
                  44,            0.063485,            0.022425,           0.0096151,             0.78757,             0.23963,              0.2797,             0.12586,            0.052619,            0.013202,           0.0078845,           0.0078715,           0.0078715,           0.0078715
                  45,            0.066556,            0.026578,            0.011029,             0.65178,             0.35884,             0.27341,             0.10268,            0.060618,            0.012489,           0.0076509,            0.007822,            0.007822,            0.007822
                  46,            0.068545,            0.023655,           0.0087724,             0.67309,             0.34572,             0.30051,             0.12831,            0.056694,            0.013038,           0.0077896,           0.0077725,           0.0077725,           0.0077725
                  47,             0.06138,            0.027095,            0.010119,             0.67567,             0.35991,             0.32741,             0.14845,            0.051257,            0.013613,           0.0077594,            0.007723,            0.007723,            0.007723
                  48,             0.06014,            0.024837,             0.01021,               0.703,             0.35022,             0.34382,             0.15367,             0.04762,            0.013765,           0.0076343,           0.0076735,           0.0076735,           0.0076735
                  49,            0.059344,            0.023411,            0.011129,             0.71685,             0.29924,             0.31097,             0.12784,            0.063293,            0.012064,           0.0072311,            0.007624,            0.007624,            0.007624
                  50,            0.067213,            0.023164,            0.010454,             0.75801,             0.29421,             0.37364,             0.15591,             0.04645,            0.013603,           0.0072566,           0.0075745,           0.0075745,           0.0075745
                  51,            0.056999,            0.024652,           0.0097548,             0.81364,             0.35991,              0.3852,              0.1567,            0.046513,            0.013566,           0.0070473,            0.007525,            0.007525,            0.007525
                  52,            0.054844,            0.023517,            0.010265,             0.82253,             0.36422,             0.40629,             0.17704,            0.044682,            0.013109,           0.0067997,           0.0074755,           0.0074755,           0.0074755
                  53,            0.057374,            0.022717,           0.0098221,             0.75585,             0.38254,             0.37987,             0.15141,            0.054223,            0.012523,           0.0064253,            0.007426,            0.007426,            0.007426
                  54,            0.059478,            0.023161,           0.0076618,             0.78651,             0.37765,             0.41834,             0.17416,            0.046877,            0.012617,           0.0064015,           0.0073765,           0.0073765,           0.0073765
                  55,            0.056675,            0.021858,           0.0091647,             0.77926,             0.30597,             0.37436,              0.1204,            0.047528,            0.012355,           0.0062561,            0.007327,            0.007327,            0.007327
                  56,            0.052569,            0.021641,           0.0082561,             0.86216,             0.37392,             0.45363,             0.19284,            0.043758,            0.012549,           0.0061453,           0.0072775,           0.0072775,           0.0072775
